Supplier Name,Supplier Details,Supplier Email,Supplier Telephone,Supplier Contact Name
CCS Media Limited,CCS Media is a Technology and Supplies Reseller with over 35 years’ experience delivering first-class IT solutions and services to organisations of every kind across the UK and beyond. Our network of offices and Advanced Technology Centres secure unrivalled nationwide scale for supply and service.,contractsandtenders@ccsmedia.com,01246 200 200,Gillian McLay
C&C Technology and Consulting,,chris.cooper@candctc.com,02031426004,Chris Cooper
CCube Solutions,"CCube Solutions is an award-winning provider of enterprise content management (ECM) solutions, comprising electronic document and records management, workflow, electronic forms, portal software, and systems integration.
Our focus is ensuring users get the right information at the right time to enable them to carry out their jobs productively.",henry.francis@ccubesolutions.com,01908677752,Henry Francis
CDG (Scotland) Ltd,"CDG is a Scotland based SME delivering outstanding services within the Scottish Public Sector for over 30 years   It provides consulting, technical architecture, network security, application development, systems integration, disaster recovery, deployment and support services.  This includes innovative cloud based solutions as organisations seek to drive further efficiencies and collaboration.",allison.aspinall@cdgscotland.co.uk,07917 440 703,Allison Aspinall
CDL GROUP HOLDINGS LIMITED,"CDL is a software house offering many varied solutions, including specialisms in data services for high volume organisations, vehicle information services, cloud services consultancy and insurance pricing/administration systems.

The company is financially strong and has over 600 employees based in Stockport, UK.",newbusiness@cdl.co.uk,0161 480 4420,Paul Donohue
CDPSoft,"CDPSoft has over  25 experience in the design, development and supply of specialist advanced software solutions. Our award-winning cloud solutions are used across a diverse range of sectors and disciplines, including Housing, Housing Options & Homelessness, Care, Support, Health & Wellbeing, Commissioning, Contract Management, Task Force Solutions, Pathways, Multi-Agency Working.",enquiry@cdpsoft.com,01784 895120,Enquiries
CDR Group,"CDR Group is a company specialising in Geographic Information Systems and digital geographic data.  We offer experienced consultancy; training, software development and data capture services to the public and private sectors.  Formed in 1982, the company is a Precisely Software Business Partner, Ordnance Survey Licensed Partner and ISO9001 accredited.",sales@cdrgroup.co.uk,01433 621282,John Ievers
CDS,"CDS is one of the UK’s top 10 technical digital agencies. Our technology and services help the public sector engage and transact with citizens and employees using secure, integrated and accessible solutions. We simplify complexity and apply straight thinking to deliver best value and make a positive difference.",jonathan.astin@cds.co.uk,07904 570073,Jonathan Astin
CDSM Interactive Solutions Ltd,"CDSM are an end-to-end e-learning and cloud solution provider. We provide high-value consultancy and solutions at competitive prices. We do this to support organisations who are considering or who have decided to exploit digital learning technologies to raise attainment, improve learning outcomes, enhance their business processes or generate business revenues.",Nick.Davies@cdsm.co.uk,01792 463865,Nick Davies
CDS Support Ltd,"CDS Defence & Security provides consultancy services in training, engineering and cyber security & information assurance. Our approach is wholly output driven with a focus on enhanced operational effectiveness, maximised people performance and the management and reduction of risk.",lucie.pickford@cdsds.uk,01242519119,Lucie Pickford
CD Technology Ltd,,kate@cdtechnology.co.uk,03330156772,Kate Kenny
CDW Limited,"CDW Ltd is an established and trusted IT services and solutions provider with an international presence in both private and public sector IT.  Our team possesses the industry’s highest achievable accreditations, which means CDW Ltd customers can focus on running their business, not on managing their IT.",tenders@uk.cdw.com,0161 837 7744,Andy Wood
Cedar Recruitment Ltd,"Specialist Consultancy Services across a range of expertise. Procurement and Commercial Services, Project and Programme Management, Business Change and Transformation, Finance Management and Information Technology/Cloud Management. We provide these services/skills into central and local government organisations nationwide and support large scale Public Sector Programmes, providing solutions that understand specific needs.",lg@cedarrecruitment.com,0203 0028040,Louise Gapp
CEDOZ LTD,"We are a software development company that assists organisations to integrate digital technology into all areas of their business, thus, fundamentally changing how they operate and deliver value to their customers.

We review, advice, design, procure and implement integrated  data and information infrastructure that meets organizations’ ICT system requirements.

www.Cedozltd.com.",Cathy.Edozie@cedozltd.com,07729262486,Cathy Edozie
Cedyrn Ltd,"We help organisations adapt to the digital age. We're experienced in building teams, running digital services and defining products.",ccs-dmp@cedyrn.com,0000000000,Rhodri Jones
Celerity Limited,"Celerity is a specialist Cloud, Managed IT services provider, and integration company, successfully delivering innovative solutions hand-in-hand with industry-leading service that is second to none.  Working closely with clients to manage complexity, reduce costs, enhance security and deliver an IT framework that transforms business objectives into tangible and measurable results.",debra.stretton@celerity-uk.com,08455652097,Debra Stretton
Celidor,"Celidor provides cyber security consultancy, security architecture, design and implementation of security solutions and security training.

Director and Principal Consultant Paul Schwarzenberger, M.Sc.,  CCSP, CISSP, M.Inst.ISP specialises in Cloud Security Architecture and DevSecOps, working with organisations to migrate business critical applications to the cloud, protecting personal data and sensitive information.",paul@celidor.net,07585 224532,Paul Schwarzenberger
Cello Software Limited,"Since 1994 Cello Software has been working very successfully with the NHS. We design intelligent and innovative business solutions to save you time and reduce waste. tracker2 online paperless leave & attendance management system is a state of the art cloud software, which helps you modernise and save money.",info@cellosoftware.co.uk,0151 348 4035,Hani Zakhour
CellPoint Digital,,william.joyce@cellpointmobile.com,+971555594879,William Joyce
Cell-Tech Innovation Limited,"Cell-Tech specialises in mobile device (phone and tablet) lifecycle services offering an end-to-end process from supply, through recycling, repairing and refurbishing and tailored to customers’ bespoke specifications: Cell-Tech creates sustainability programmes and longevity from otherwise-perceived life-expired electronic mobile devices.",howard@cell-tech.co.uk,01925860444,Howard Jones
Celo Limited,,steve@celohealth.com,+44 20 3318 4402,Stephen Vlok
CELONIS LTD,"Celonis is the market leader in process mining, workforce optimisation and excution managed services. The Celonis AI/MLEngine automatically senses friction in processes and acts to correct the underlying cause.
With over 3,000 successful deployments, Celonis helps companies such as Siemens, Uber, and ABB drive business outcomes across its processes.",j.whelan@celonis.com,+44 (0) 7795 435 332,Jonathan Whelan
Cementors Limited,,yemi.onigbode@cementors.com,07437555000,Yemi Onigbode
CENIGMA,"CENIGMA is a leading supplier of Digital solutions aimed at children and young people. Our flagship product, Healthier Together is a mobile app that has been developed to improve health literacy and reduce anxiety amongst parents of young children to reduce unnecessary A&E and GP appointments whilst avoiding late presentations.",sales@cenigma.net,07572602121,Ahmad Chughtai
Centerprise International Ltd,"Centerprise International Limited is a medium sized UK SME established in 1983. We have been supplying ICT services into Defence and wider-Government for over 30 years.  Our expansive portfolio of services ranges from the end to end delivery of bespoke ICT solutions, through to innovative Cloud offerings at OFFICIAL.",tendersteam@centerprise.co.uk,01256 378 000,Tenders Team
Centrality,,dkeeling@centrality.com,01234619860,David Keeling
Central Networks and Technologies Ltd,"Established in 1991, Central has become a specialist IT services provider of choice to over 120 organisations in the UK, over 50 of which are housing associations or council organisations. We provide support services (remote and on site), infrastructure, IT strategy, unified communications and bespoke project work.",sales@cnt.co.uk,01706 747474,Jane Trudgeon
Central Technology Ltd,"CT are an ISO27001 and ISO9001 BSI accredited company who offers a professional approach to Managed Services, Cloud, Data Security and Business Continuity.

We are passionate about the resilience and security of all customer's infrastructures. Our consultative and strategic approach ensures CT delivers a comprehensive IT road-map for any organisation.",gcloud@ct.uk,01246266130,Robert Longden
CenturyLink Communications UK Limited,"Lumen is the fastest, most secure platform for next-gen business applications and data. Our platform integrates global network infrastructure, cloud connectivity, edge computing, connected security, voice, collaboration and enterprise-class services into an advanced application architecture.",ashley.manning@Lumen.com,07827881863,ashley.manning@Lumen.com
Ceox,"Ceox provides IT services to Government Departments, Agencies, Public Bodies and Social Housing, exploiting technology for the benefit of society. We enable Digital Transformation combining engaging online experiences with operational excellence. A Microsoft Partner since inception, we are experts in Dynamics 365, Power Platform, Office 365, Microsoft RPA & AI",digitalmarketplace@ceox.co.uk,0333 987 4495,Gavin Harte
Cerastes Ltd,,chris.r.740@cerastes.co.uk,02075548547,Chris Regan
Ceridian Europe,"Ceridian is a global human capital management (HCM) software company, serving over 25 million users in 60+ countries.
Dayforce, our flagship cloud HCM platform, provides human resources, payroll, benefits, workforce management, and talent management capabilities in a single solution.",chelsea.gaffney@ceridian.com,07342 063650,Chelsea Gaffney
Certa Testing Limited,ICT Test Consultancy with public sector experience in healthcare and local government.,info@certatesting.co.uk,07710 442 686,Client Contact Team
Certes Computing Limited,"Certes is an experienced supplier of agile, digital and cloud skilled DDaT resources, supporting clients with business as usual and digital transformation projects to GDS Standards. We are able to scale up rapidly, and on-board remote and on-site resources to projects within 5 days of instruction, with immediate roll-off capability.",michelle.pattison@certes.co.uk,+44 (0) 1675 468 954,Michelle Pattison
Certus Advisory Ltd,"Certus Advisory is an IT & Commercial Consulting firm with a fresh approach to professional services. We are an organisation that  offers genuine insight, capability and value at every stage of the IT delivery and commercial lifecycle. We focus on solutions with contractually committed outcomes and apply proven technical expertise.",will.hampton@certusadvisory.co.uk,+44 (0)207 164 6029,William Hampton
Cervus Defence and Security,We provide the frontline with competitive advantage through our rapid and data driven approach to innovation,chris.r@cervus.ai,+44 7932 649925,Chris Rolfs
Cevitr Ltd,"Cevitr offers Digital Workmates to organisations to take on mundane, repetitive tasks so that business users can focus on more productive activities. Digital Workmates are delivered using leading Robotic Process Automation and AI technology through the cloud. The services are delivered on a monthly subscription basis with Zero capital expenditure.",gcloud@cevitr.com,+ 44 (0) 1625 429692,Ramesh Menon
CEYX LTD,"CEyX are a certified service integrator for ServiceNow, G Suite, O365, Bettercloud and OKTA. 
Please feel free to reach out to Matt our Engagement Director for Public Sector",matt@ceyx.uk,07738438287,Matt
CFH Docmail Ltd,"Provider of secure print, mail and online communication solutions.",tenders@cfh.com,01761416311,Jon Marsh
CFMS Services Ltd,"CFMS focusses on delivering digital engineering capability; from engineering platforms where you can share, collect and analyse data, deriving persistent operational requirements, simulating, predicting performance or automation of processes through to application of AI or Machine learning.",steven.puetz@cfms.org.uk,01179061100,Steven Puetz
CG4 Solutions Inc.,"Founded in 1999, CG4 Solutions Inc. (CG4 Asset Tracking) provides software to allow you to track your assets using barcode and RFID with smartphones, tablets, and integrated barcode scanners.  CG4 integrates with ServiceNow, Cherwell, Micro Focus/HP, Oracle/PeopleSoft, and other systems.  CG4 also offers a standalone asset tracking system.",will.barrowes@cg4.com,+1-801-675-5172 x104,Will Barrowes
CGI,"Founded in 1976, CGI is a global IT and business process services provider with 84,000 professionals delivering high-quality business consulting, systems integration and managed services.  CGI has an industry-leading track-record of delivering 95% of projects on-time and on-budget, aligning our teams with clients’ business strategies to achieve top-to-bottom line results.",gcloud@cgi.com,07841 602596,Government Frameworks Team
Chakray UK Ltd,"A digital transformation company specialising in consultancy, devops, migrations, integration development, training and support. Particular specialism and focus on WSO2, AWS, Talend, ESB, API management, identity solutions, serverless architecture and microservices.",thomasv@chakray.co.uk,01926 298195,Thomas Valaitis
Chambury Learning Solutions [Chambury Consulting Ltd],"Chambury Learning Solutions commits to providing professional customer-focused LMS advice and support, ultimately recognised as an excellent service provider and preferred supplier to the NHS creating environment where customers feel they can be open and transparent, that they are listened to, making them  the most important part of the journey.​",info@chamburylearningsolutions.co.uk,07803125075,Richard Chambury
Chameleon Digitization,"At Chameleon Digitization, we deliver rapid, cost-effective deployment of software and connected hardware. We solve challenges collaboratively to improve the management of people, places and assets, collecting data and turning it into information. This provides valuable insights that save money, reduce risk and create efficiency.",mdgchameleonpcs@mcdermottgroup.co.uk,07930891883,Iain Muir
Change Associates Limited,"Change Associates is an independent, specialist consultancy providing high quality experts. We provide digital transformation services - the process of implementing consistent processes, harnessing new technologies including changes in organisational structure. We provide effective deployment, project management, change management and communications in order for the transformation to succeed.",info@changeassociates.com,0207 101 1979,Change Associates Ltd
CHANGE-IT CONSULTING LTD,,d.malkin@change-itc.com,07865062319,David Malkin
CHANGE-IT PUBLIC SECTOR LIMITED,,t.lavender@change-ps.com,07927 193 952,Tom Lavender
CHANGEOLOGISTS LIMITED,,jeanette@changeologists.co.uk,07510591111,Jeanette Smith
Channel 3 Consulting,"At Channel 3 we help health and care organisations use technology to transform patient care and improve ways of working.

With over 10 years’ experience working exclusively in digital health and care, we’re proud to bring our clients the expertise and passion it takes to succeed.",bidteam@channel3group.co.uk,+44 (0)20 3866 4838,Athena Evans
Chapel Associates Limited,,paul.atwell@chapel-associates.co.uk,07909836366,Paul Atwell
Chapter III,,bruce.hartley@chapteriii.co.uk,07801189111,Bruce Hartley
Charity Engine grid,,markmcandrew@charityengine.com,01616603201,Mark McAndrew
Charterhouse Voice & Data,"Cloud specialist, IT and communications integrator enabling business transformation. Core pillars: Protect, Connect, Collaborate. Agile, dynamic organisation with strong financials operating since 1993 focused on delivering exceptional service. Connecting, empowering and transforming businesses, we develop long term, trusted partnerships with our customers and vendor partners.",katie.nicholas@cvdgroup.com,02076137400,Katie Nicholas
Charterhouse Voice & Data Limited t/a Symity,"Symity have a proven track record of transforming organizations using Teams and the O365 eco-system.
 
We have extensive experience in the development of Unified Communications strategies, deployment of mission critical telephony, contact centre solutions, meeting room and video conference solutions including executing adoption campaigns and providing tier 3 operational support.",Andrew.Chambers@Symity.com,+44(0) 1865 959 343,Andrew Chambers
Chase Madison,,info@chasemadison.co.uk,02036677200,Kulvinder Chaggar
Chaucer Consulting,"We are experts in creating value from digital transformation and data to improve lives. Chaucer’s service offerings deliver an innovative approach to programme delivery and change management for technology and data-driven change. We are transformation experts, trusted advisors, change facilitators, digital partners.",natalia.sokolova@chaucer.com,0792 187 4176,Natalia Sokolova
Checkealos,"User experience research and analysis platform which helps with setting up, conducting remote usability testing, AB testing, expert review and eventual analysis. Get videos of usability test sessions and is easy to make clips. Provide recruitment of custom research participants for user research. Add your own research participants.",alberto.morales@checkealos.com,+34854522480,Alberto Morales Flores
Chemdoc,,henry.mooney@ecoonline.com,020 8133 4551,Henry Mooney
Cherwell Software,"Cherwell Software empowers organizations to transform their business through the rapid adoption and easy management of digital services. Cherwell’s adaptable platform has enabled organizations to modernize their business operations with customizable service management, automation, and reporting across the enterprise. Our solutions and our people build lasting relationships.",Scott.Breadmore@cherwell.com,01793 544 888,Scott Breadmore
CHESS ICT LIMITED,"Chess is one of the UK’s leading technology solutions providers, helping organisations grow, through technology and expert advice across Voice & Connect, ICT, CyberSecurity and Digital. Our solutions enable working from anywhere, safeguarding organisations and connecting customers with their clients and stakeholders. 33,000+ businesses trust in their relationship with Chess.",PublicSectorSales@ChessICT.co.uk,0800 688 8858,Joanne Austin - Commercial Bid Lead
CHOROGRAPH LTD,,shadi@chorograph.com,07454714795,Shadi Abu-Shams
Chorus,"Chorus are Microsoft cloud experts that help organisations adopt and benefit from cutting-edge Microsoft technologies across Azure, Microsoft 365, Dynamics 365 and SharePoint.",hello@chorus.co,01275398900,Public Sector Sales Team
Chorus Intelligence Ltd,"We are a trusted supplier of data cleansing and analysis software for law enforcement, government agencies and financial institutions. We provide industry-leading investigative software that enables our customers to confidently turn data into intelligence and evidence.

Wanting Standalone or On-premise solution? Contact Chorus directly.",accounts@chorusintel.com,020 3597 7350,Boyd Mulvey
CHRIS BUTLER ASSOCIATES LIMITED,"AI and Deep machine learning tools. CCTV and Video analysis and automated behaviour and object identification and alerting (real-time and historic) producing forensic tracking (>150TB in RAM).  Facial and biometric recognition. Data aggregation, golden record production, automated code generation. Massive parallel processing and highly scalable. Cloud or on premise",chrisb@chrisbutlerassociates.co.uk,01923432767,Chris Butler
Chronicle Computing Ltd,"Chronicle Computing Ltd is a UK registered company specialising in Workforce Management and Time and Attendance Solutions for Small, Medium and Large Sized businesses.

Our product 'Chronicle Online' provide companies with an affordable, simple to use integrated Time and Attendance, Rostering, Access Control and HR solution in a cloud environment.",rupertlassen@chronicle-computing.co.uk,07401578527,Rupert Lassen
CHR Solutions Limited,,lawrencelongstaff@chrsolutions.co.uk,07957231199,Lawrence Longstaff
CHS HEALTHCARE SOFTWARE LIMITED,"BroadCare Software Limited was incorporated in 2018 after the purchase of the BroadCare system from Bray Leino by CHS Healthcare Holdings Limited.

The BroadCare software platform, specifically designed for NHS-funded continuing healthcare, is used extensively by CCGs/CSUs, to manage patients, care and payments associated with CHC across multiple care categories.",mark.christie@chshealthcare.co.uk,07940 222592,Mark Christie
CIELO COSTA LIMITED,,ali.sanaei@cielocosta.com,07776222312,Ali Sanaei
CIEVERT LTD,,chris.kennelly@cievert.co.uk,0191 228 6584,Chris Kennelly
Cigniti Technologies (UK) Limited,"Cigniti Technologies(UK) Limited is a 100% subsidiary of Cigniti Technologies Limited, Global Leaders in Independent Software Testing (IST) Services, has its HQ in London. 2500+ career testers spread across UK, US, India, Australia & Canada. Cigniti is world’s 1st  IST Company  appraised at CMMI-SVC v1.3, Maturity Level 5.",nanda@cigniti.com,+44 (0)203 865 6044,Nanda Padmaraju
Cimar Ltd,,h.jenkinson@cimar.co.uk,07958 776809,Mr Howard Jenkinson
CIMPLE LIMITED,,wyndham@cimple.uk,07971045637,Wyndham Plumptre
Cinapsis,"Cinapsis SmartReferrals is a clinical communications platform that enables clinicians to share information and make decisions together about the best next step in a patient’s care. Clinicians benefit from access to timely, specialist advice from experienced secondary care clinicians. Cinapsis is the trading name of Monmedical Limited.",hello@cinapsis.org,0203 858 0124,Owain Rhys Hughes
Cinnamon Digital Applications Limited,"UK technology company based in Milton Keynes in north Buckinghamshire. Provider of digital applications that transform the way you work.

Our software will improve workflows and generate operational efficiencies. Specialists in:

Web, windows and mobile applications, business intelligence, data warehouse, reporting, analytics, tableau, SQL",support@cinnamondigitalapplications.co.uk,07789483562,William Aspinall
Cinos,"Cinos Ltd. are a leading systems integrator specialising in the delivery of intelligent network infrastructure, video and communications solutions, and services to a global marketplace.
Our dedicated team of certified professionals have extensive experience delivering solutions across all business sectors including Government, Financial, Healthcare and Manufacturing.",bids@cinos.co.uk,07869370406,Jody Faulkner
Cintra Corporation UK Ltd,Oracle Architects and Consulting Services,ploveland@cintra.com,0845 121 3242,Phil Loveland
CIO-OFFICE LLP,,roy.irvine@cio-office.com,07833207816,Roy Irvine
Cipher10 Ltd,"Cipher10 specialise in supporting Government Departments, Agencies & suppliers with High Classification programme & project management, security policy, assurance, business analysis and training.
​
Our expert, security cleared professionals will partner with your organisation to deliver tailor-made solutions with in-depth knowledge of High Assurance Products and NTA processes and requirements.",enquiries@cipher10.com,02080502648,Zak Habgood
CIPHR,"CIPHR is a leading UK provider of HR software as a service, delivering innovative systems designed to meet the needs of public and private sector organisations. Covering the employee lifecycle, CIPHR’s products comprise people management, payroll, absence, recruitment, onboarding, reporting and analytics. Accessible anytime, anywhere, delivered from UK-based data centres.",sales@ciphr.com,+44 (0)1628 814242,Rob Oehlers
Ciptex,"Ciptex delivers flexible Cloud  Communication Solutions for public and private sector enterprise users, with services including telephony, digital contact centre and SD-WAN, from a  secure, high-availability cloud platform.",steve.walker@ciptex.com,0345 880 0808,Steve Walker
Circle Cloud Ltd,"Circle Cloud are a Microsoft Cloud specialist consultancy and managed service provider. We work almost exclusively with the following products:

•	Microsoft Modern Workplace (Office 365, Enterprise Mobility Suite, Microsoft Teams etc.)
•	Windows Azure (Infrastructure & Application Hosting)
•	Dynamics 365 & Microsoft Power Platform",michael.povey@circlecloud.co.uk,01916727012,Michael Povey
Circle Interactive,"Experts in Drupal and CiviCRM both separately and integrated. We supply audit services, consultancy, training and system customisation. We also provide ongoing software maintenance and support on fully managed hosted systems. Circle has supported public, private and third sector clients since 2005.",enquiries@circle-interactive.co.uk,01179096967,David Moreton
Circular Wave,,james.shields@circularwave.co.uk,03339874045,James Shields
Cirdan,"Cirdan is a leading provider of innovative software and imaging solutions that help to enhance and speed up the diagnosis of patients. Headquartered in N.Ireland with offices in Canada and Australia, its products are currently helping to streamline laboratory operations across six continents.",presales@cirdan.com,02892660880,Presales Team
Cirro,"We deliver digital outcomes for Back-up & Recovery, secure Private Cloud, Managed O365, cybersecurity and secure SD-WAN multi-cloud gateway to Public Cloud and SaaS environments. Connected to PSN, HSCN, Janet and major ISP's. 

We optimise, protect and scale-out cloud solutions. Certified to ISO 9001, 27001, 14001 and 22301.",michaelo@cirro-solutions.co.uk,020 3418 0412,Michael Owen
Cirrus,"Cirrus provides innovative, scalable, cloud-based telephony and virtual contact centre solutions. Customers can securely access the very best contact centre and telephony tools using any web browser, from any location with an internet connection. Our solutions are technology agnostic and require no capital investment to deploy.",sales@cirrusresponse.com,0333 103 3440,Sales
CirrusHQ Ltd.,"CirrusHQ are an Advanced AWS Consulting&Channel partner working with customers at every stage of their cloud journey - from the initial planning stages, through migration and onto ongoing management and optimisation. Our AWS certified solution architects and engineers have extensive experience in designing, managing and deploying complex AWS solutions.",stephen.croke@cirrushq.com,0131 208 0284,Stephen Croke
Cisco International Limited,"Cisco is the worldwide leader in IT - transforming how people connect, communicate and collaborate. We help companies seize opportunities by proving that amazing things can happen when you connect the unconnected.  Cisco has shaped the future of the Internet by creating unprecedented value for our customers.",ccsframeworks@cisco.com,07917 051074,Natalie Johnson
Cisilion Limited,"Formed in 2000 and with a reputation for excellence, we have a proven track record of successfully implementing IT solutions for our global clients. Cisilion’s award winning projects are complimented by our long standing and strategic relationships with some of the world’s leading technology partners including Cisco, Microsoft,",drichardson@cisilion.com,01372 201145,Debbie Richardson
CISOSELECT LIMITED,,gcloud@cisoselect.co.uk,07543297187,Michael Brown
Citi Logik Limited,"Citi Logik provides insight into the way people move on foot, in a vehicle or by train. We have developed new ways of identifying and analysing demand activity, which we apply to complex spatial challenges in the sectors of Local and Central Government Transport, Intelligent Mobility and Smarter Cities.",mark.hawkins@citilogik.com,07884065433,Mark Hawkins
CITIPOST LIMITED t/a Citipost Mail,"Citipost is a specialist provider of cloud-based, hybrid mail and SMS services. Intuitive cloud-based user interfaces, SFTP and API options deliver an all-round solution for all types of government applications. We’ve been particularly successful in delivering tangible cost and labour savings for local authorities.",tenders@citipost.co.uk,07570792812,Tanith Samuels
Citizen Connect Ltd t/a Axia Digital,,c.peat@axiainteractive.net,07771996620,Mr Chris Peat
CitizenLab,"CitizenLab is an online resident engagement and public consultation platform for governments and public organisations. We enable you to reach more residents, manage their ideas efficiently, and make decisions based on real-time data.",lora.botev@citizenlab.uk,+447926764670,Lora Botev
City and Guilds Kineo Limited,"At Kineo we are not just digital learning experts, we are experts in how people learn. Everything stems of the simple idea, if we design better learning experiences, together we will get better results. Our Learning platform Totara Kineo Edition (TKE) is taking learning experience to a new level.",angela.mcardle@kineo.com,07545440504,Angela McArdle
CIVIC,"At the heart of CIVIC's service offering is our user-centric design philosophy. This can be seen and expressed at every stage of the project, as we move from an understanding of your users, through User Experience, information architecture and design to feature development and website build and ISO27001 accredited hosting.",gcloud@civicuk.com,0131 624 9830,Greg Rouchotas
Civica,"Calibrand, the currency for talent®, specialises in providing e-assessment solutions that assess, monitor, measure, benchmark, track and test people during periods of employment and training.",tenders@calibrand.com,01332 222680,Simon Wynne
"CivicActions, Inc.","CivicActions is a digital services firm building elegant and accessible government services for everyone. We are passionate civic designers and developers specializing in free and open source agile software development, user-centered design, security/compliance and open data.
We lead the efforts behind Agile Government Leadership (AGL) and Project DKAN.",sales@civicactions.com,(202) 415-0947,William Ogilvie
Civica UK Limited,"Civica is a leading partner for the public sector and regulated markets around the world. We provide a wide range of business-critical software applications, digital solutions and business process services to help our customers deliver efficient high quality services and better outcomes.",g-cloud@civica.co.uk,+44 (0) 3333 214 914,Civica UK Limited
Civica UK Limited,"Agylia Group Ltd is a global leader in the provision of the Agylia Learning Management System, Agylia Mobile Learning Apps, Agylia Care service, and the design and creation of innovative bespoke eLearning, microlearning and digital learning programmes.",info@agylia.com,01454 269222,Tim Buff
Civica UK Limited,,nick.kay@equiniti.com,07484 514140,Nick Kay
CiviQ,CiviQ provides a cloud-based consultation platform and an opinion analysis platform to public & private sector bodies. Our focus is on enabling transparent and interactive consultations for citizens. We provide a range of engagement types also flexible reporting and dashboards during consultation. Our opinion insights drive new approaches to decision-making.,vanessa@civiq.eu,+44 33 3303 0914,Vanessa Liston
CJC Procurement Ltd,"CJC Procurement provides G-Cloud Procurement Services enabling public sector organisations to source specialist digital transformation procurement expertise, assisting or leading full sourcing, selection and contracting processes or advice and guidance on procurement strategy including supplier relationship management, contract management, or assistance with contract, software licence, or maintenance renewal and savings.",chris@cjcprocurement.co.uk,07979550560,Chris Cliffe FCIPS MIoD
CL,,claire@contexsa.co.uk,07590003695,Claire Worsley
Claranet Limited,"Claranet is an expert in migrating and running critical applications and infrastructure 24x7 securely. We simplify the management of IT services, modernising operations,  and our customers gain access to a wide range of integrated consulting, managed services, and training services across hybrid cloud, networks, communications, and cyber security technologies.",parisa.hallgate@uk.clara.net,07929834483,Parisa Hallgate
Clarasys Limited,"Management consultancy with experience delivering discovery, alpha and beta projects to GDS standards in government departments. Agile coaching, business analysis, user research, service design, digital transformation, process improvement, user journey mapping, operating model design, project management, sustainability, data governance, CRM, business change and training, with focus on improving customer experience.",bids@clarasys.com,+44 203 733 9322,Steven Writer-Maguire
Claremont,"Founded in 2004, Claremont is the UK’s leading independent provider of Oracle E-Business Suite and Oracle Cloud Applications services.

As an Oracle Gold partner, we collaborate with our customers to enable them to maximise their investment in Oracle technology and add tangible business value.",gcloud@claremont.co.uk,+447867800420,Mark Vivian
Claritas Solutions Ltd,"An agile, experienced cloud managed services provider with a proven record in meeting complex customer requirements in a secure and compliant manner for both public and private sector clients. Providing a mixture of cloud hosting services; high availability, secure and resilient.  We have an in-house cloud software development capability.",sales@claritas-solutions.com,0845 6399661,Derek Baker
Clarity Informatics Limited,"An established provider of healthcare informatics, sharing portals and appraisal and revalidation solutions to the NHS and to health services worldwide.  Clarity has been providing services for over 20 years.",james.stephenson@clarity.co.uk,01912875813,James Stephenson
Clarity Information Solutions,"Clarity provides information management solutions that are configured to support client-specific requirements. Our solutions promote efficient working, deliver cost savings and increase information governance.

We offer a suite of cloud-based appointment management solutions that are designed to support public authority functions, including NDORS course management, online booking and Bikeability provision.",bill.duke@clarity-ltd.co.uk,07800810460,Bill Duke
Clarity Tech Ltd,"At Clarity Tech, we manage, develop and deliver innovative Business Intelligence (BI), Analytics, Data Warehouse, Cloud Software, Cloud Hosting and Cloud Support solutions of the highest calibre, to serve the demands of organisations in the UK and beyond.",faiz@claritytech.org,02030062813,Faiz Ahmad
Clarity Workforce Technology Ltd,"Clarity is a leading supplier of workforce technology solutions to the healthcare market. Our solutions provide key management data, improve efficiencies and deliver substantial savings across the entire workforce process. Our products include Clarityroster (e-rostering & scheduling tool), Claritystaffbank (staff bank management system) 
and Clarityagency (temporary staff/agency management system)

www.clarityroster.com",Contracts@clarityworkforcetech.com,08450 063 752,Tom Gellett
Clarizen,"Clarizen is a recognized leader in Project and Portfolio management, bringing together cross-company project management, configurable workflow automation and purposeful collaboration in an enterprise-grade platform.",ben.raelbrook@clarizen.com,0203 941 6059,Clarizen Sales
CLEARA CONSULTING LIMITED,,info@cleardirectdebit.co.uk,01737 826957,James Alves
ClearBox Consulting Limited,"ClearBox Consulting specialises in the business challenges of the digital workplace: intranet strategy, SharePoint, Office 365 / Microsoft 365, employee adoption, governance, and effective communication. 

Every consultant at ClearBox has hands-on experience of intranet management. We approach technology from the people side first, focusing on outcomes and ways of working.",Sam@clearbox.co.uk,01244 458746,Sam Marshall
Clearbox Limited,"Clearbox provides integrated software and support services for BIM-enabled projects. Our core product, BIMXtra, allows you to control all your project data in one CDE - combining documents, data and visualisation in one space, so you can manage and enhance it from the beginning of your project through to handover.",info@clearboxbim.com,01256 666 360,Suzanne Yule
CLEARCOURSE MEMBERSHIP SERVICES LIMITED,"MillerTech is a market leader in supplying Membership and CRM systems to the Not for Profit (NfP) sector. We have worked closely with NfP Organisations for over 35 years, delivering effective and innovative solutions which ensure that all your contacts are fully informed and involved.",kim.smith@clearcourse-membership.com,01213252620,Kim Smith
Clear Cut Cyber Ltd,,info@clearcutcyber.com,03301 330 745,Toby Rose / Jon Lorains
Clear Links Support Ltd.,,antoine.pluquailec@clear-links.co.uk,01142786866,Antoine Pluquailec
